mineral,formula,system
GERASIMOVSKITE,(Mn|Ca)(Nb|Ti)5O12.9H2O,(?),am.
GERDTREMMELITE,(Zn|Fe++)(Al|Fe+++)2(AsO4)(OH)5,A
GERENITE-(Y),(Ca|Na)2(Y|REE)3(Si6O18).2H2O,A
GERHARDTITE,Cu2(NO3)(OH)3,O
GERMANITE,Cu26Fe4Ge4S32,C
GERMANOCOLUSITE,Cu26V2(Ge|As)6S32,C
GERSDORFFITE,NiAsS,C
GERSTLEYITE,Na2(Sb|As)8S13.2H2O,M
GERSTMANNITE,(Mg|Mn)2ZnSiO4(OH)2,O
GETCHELLITE,AsSbS3,M
GEVERSITE,Pt(Sb|Bi)2,C
GIANELLAITE,Hg4(SO4)N2,C
GIBBSITE,Al(OH)3,M
GIESSENITE,2(Cu2Pb26(Bi|Sb)20S57),M
GILALITE,Cu++5Si6O17.7H2O,M
GILLARDITE,Cu3NiCl2(OH)6,R
GILLESPITE,BaFe++Si4O10,Q
GILLULYITE,Tl2(As|Sb)8S13,M
GILMARITE,Cu3(AsO4)(OH)3,A
GINIITE,Fe++Fe+++4(PO4)4(OH)2.2H2O,M
GINORITE,Ca2B14O23.8H2O,M
GIORGIOSITE,Mg5(CO3)4(OH)2.5H2O,(?),(?)
GIRAUDITE,(Cu|Zn|Ag)12(As|Sb)4(Se|S)13,C
GIRDITE,(?),Pb3H2(Te++++O3)(Te++++++O6),(?),M
GIRVASITE,NaCa2Mg3(PO4)2[PO2(OH)2](CO3)(OH)2.4H2O,M
GISMONDINE,Ca[Al2Si2O8].4|5H2O,M
GITTINSITE,CaZrSi2O7,M
GIUSEPPETTITE,(Na|K|Ca)7-8(Si|Al)12O24(SO4|Cl)1-2,H
GJERDINGENITE-Ca,(K|Na|Sr)2Ca(Nb|Ti)4(Si4O12)2(O|OH)2.6H2O,M
GJERDINGENITE-Fe,K2(Fe++|Mn++)(Nb|Ti)4(Si4O12)2(O|OH)4.7-8H2O,M ps O
GJERDINGENITE-Mn,(K|Na)2(Mn++|Fe++)(Nb|Ti)4(Si4O12)2(O|OH)4.6H2O,M ps O
GJERDINGENITE-Na,(K|Na|Sr)2Na(Nb|Ti)4(Si4O12)2(O|OH)2.5H2O,M
GLADITE,CuPbBi5S9,O
GLADIUSITE,(Fe++|Mg)4Fe+++2(PO4)(OH)11.H2O,M ps O
GLAGOLEVITE,NaMg6AlSi3O10(OH|O)8.H2O,A
GLAUBERITE,Na2Ca(SO4)2,M
GLAUCOCERINITE,(Zn|Cu)10Al6(SO4)3(OH)32.18H2O,H
GLAUCOCHROITE,CaMnSiO4,O
GLAUCODOT,(Co|Fe)AsS,O ps C
GLAUCONITE,(K|Na)x+y(Mg|Fe++)x(Al|Fe+++)2-x[]Si4-y(Al|Fe+++)yO10(OH)2,M
GLAUCOPHANE,[]Na2(Mg3Al2)Si8O22(OH)2,M
GLAUKOSPHAERITE,(Cu|Ni)2(CO3)(OH)2,M
GLUCINE,CaBe4(PO4)2(OH)4.0|5H2O,(?)
GLUSHINSKITE,Mg(C2O4).2H2O,M
GMELINITE-Ca,(Ca0|5|Sr0|5|Na|K)4[Al8Si16O48].22H2O,H
GMELINITE-K,(K|Na|Ca)6[Al7Si17O48].22H2O,H
GMELINITE-Na,(Na|K|Ca0|5)4[Al8Si16O48].22H2O,H
GOBBINSITE,Na5[Al5Si11O32].12H2O,O ps Q
GODLEVSKITE,(Ni|Fe)7S6,O
GODOVIKOVITE,(NH4)(Al|Fe+++)(SO4)2,H
GOEDKENITE,(Sr|Ca)2Al(PO4)2(OH),M
GOETHITE,alpha-Fe+++O(OH),O
GOLD,Au,C
GOLDAMALGAM,(?),(Au|Ag)Hg,C
GOLDFIELDITE,Cu10-12(Te|Sb|As|Bi)4-2S13,C
GOLDICHITE,KFe+++(SO4)2.4H2O,M
GOLDMANITE,{Ca3}[V+++2](Si3)O12,C
GOLDQUARRYITE,CuCd2Al3(PO4)4F2.12H2O,A
GOLYSHEVITE,[Na10Ca3]Ca6Zr3Fe2SiNb[(OH)3|CO3|(Si3O9)2|(Si9O27)2].H2O,R
GONNARDITE,(Na|Ca)6-8[(Al|Si)20O40].12H2O,O
GONYERITE,(Mn++|Mg)5Fe+++(Si3Fe+++)O10(OH)8,O,(?)
GOOSECREEKITE,Ca[Al2Si6O16].5H2O,M
GORCEIXITE,BaAl3[(PO3(O|OH)]2(OH)6,R
GORDAITE,NaZn4Cl(OH)6(SO4).6H2O,R
GORDONITE,MgAl2(PO4)2(OH)2.8H2O,A
GORGEYITE,K2Ca5(SO4)6.H2O,M
GORMANITE,Fe++3Al4(PO4)4(OH)6.2H2O,A
GORTDRUMITE,(Cu|Fe)6Hg2S5,O
GOSLARITE,ZnSO4.7H2O,O
GOTTARDIITE,Na3Mg3Ca5[Al19Si117O272].93H2O,O ps H
GOTTLOBITE,CaMg(VO4|AsO4)(OH).0|5H2O,O
GOTZENITE,Na(Na|Ca)4Ca2Ti(Si2O7)2(O|F)2,A
GOUDEYITE,(Al|Y)Cu6(AsO4)3(OH)6.3H2O,H
GOWERITE,CaB6O10.5H2O,M
GOYAZITE,SrAl3(PO3OH)(PO4)(OH)6,R
GRAEMITE,CuTeO3.H2O,O
GRAESERITE,Fe+++4Ti3As+++O13(OH),M
GRAFTONITE,(Fe++|Mn|Ca)3(PO4)2,M
GRAMACCIOLIITE-(Y),(Pb|Sr)(Y|Mn)(Ti|Fe+++)18Fe+++2O38,R ps H
GRANDAITE,Sr2Al(AsO4)2(OH),M
GRANDIDIERITE,(Mg|Fe++)Al3(BO4)(SiO4)O,O
GRANDREEFITE,Pb2SO4F2,M
GRANDVIEWITE,Cu3Al9(SO4)2(OH)29,M
GRANTSITE,(NaCa)x(V+++++|V++++)6O16.4H2O,(x,=,about,2|3),M
GRAPHITE,C,H/R
GRATIANITE,MnBi2S4,M
GRATONITE,Pb9As4S15,R
GRATTAROLAITE,Fe+++O3(PO4),R
GRAULICHITE-(Ce),(Ce|Ba)(Fe+++|Al)3(AsO4)2(OH|H2O)6,A
GRAVEGLIAITE,Mn++(SO3).3H2O,O
GRAYITE,(Th|Pb|Ca)PO4.H2O ps H
GRECHISHCHEVITE,Hg3S2(Br|Cl|I)2,Q
GREENALITE,(Fe++|Fe+++)2-3Si2O5(OH)4,M
GREENOCKITE,CdS,H
GREENWOODITE,Ba2-x(V+++OH)xV9(Fe+++|Fe++)2Si2O22,R
GREGORYITE,(Na2|K2|Ca)CO3,H,(?)
GREIFENSTEINITE,Ca2Be4(Fe++|Mn)5(PO4)6(OH)4.6(H2O),M
GREIGITE,Fe++Fe+++2S4,C
GRENMARITE,(Na|Ca)4(Mn|Na)(Zr|Mn)2(Zr|Ti)(Si2O7)2(O|F)2,M
GRICEITE,LiF,C
GRIGORIEVITE,Cu3Fe+++2Al2(VO4)6,A
GRIMALDIITE,Cr+++O(OH),R
GRIMSELITE,K3Na(UO2)(CO3)3.H2O,H
GRIPHITE,Na4Ca6(Mn|Fe++|Mg)19Li2Al8(PO4)24(F|OH)8,C
GRISCHUNITE,NaCa2Mn++5Fe+++(AsO4)6.2H2O,O
GROATITE,NaCaMn++2(PO4)[PO3(OH)]2,M
GROSSITE,CaAl4O7,M
GROSSMANITE,CaTi+++(AlSiO6),M
GROSSULAR,{Ca3}[Al2](Si3)O12,C
GROUTITE,Mn+++O(OH),O
GRUMANTITE,NaHSi2O5.H2O,O
GRUMIPLUCITE,HgBi2S4,M
GRUNERITE,[]Fe++7Si8O22(OH)2,M
GRUZDEVITE,Cu6Hg3Sb4S12,R
GUANACOITE,Cu2(Mg|Cu)Mg2(AsO4)2(OH)4.4H2O,M
GUANAJUATITE,Bi2Se3,O
GUANINE,C5H3(NH2)N4O,M
GUARINOITE,(Zn|Co|Ni)6(SO4)(OH|Cl)10.5H2O,H
GUDMUNDITE,FeSbS,M
GUERINITE,Ca5H2(AsO4)4.9H2O,M
GUETTARDITE,Pb(Sb|As)2S4,M
GUGIAITE,Ca2BeSi2O7,Q
GUIDOTTIITE,(Mn2Fe+++)(SiFe+++)O5(OH)4,H
GUILDITE,CuFe+++(SO4)2(OH).4H2O,M
GUILLEMINITE,Ba(UO2)3(SeO3)2O2.3H2O,O
GUIMARAESITE,Ca2(Zn|Mg|Fe++)5Be4(PO4)6(OH)4.6H2O,M
GUIMARAESITE,Ca2Be4(Zn|Mg|Fe)5(PO4)6(OH)4.6(H2O),M
GUNNINGITE,(Zn|Mn++)SO4.H2O,M
GUNTERBLASSITE,(?|??)3-xF?[(Si|?l)13O25(??|O)4].7?2O,O
GUNTERITE,Na4(H2O)16(H2V10O28).6H2O,M ps H
GUPEIITE,Fe3Si,C
GUSTAVITE,PbAgBi3S6,(?),O
GUTKOVAITE-Mn,CaK2Mn(Ti|Nb)4(Si4O12)2(O|OH)4.5H2O,M
GUTSEVICHITE,(?),(Al|Fe+++)3(PO4|VO4)2(OH)3.8H2O,(?),(?)
GUYANAITE,CrO(OH),O
GWIHABAITE,(NH4|K)(NO3),O
GYPSUM,CaSO4.2H2O,M
GYROLITE,NaCa16AlSi23O60(OH)5.15H2O,A ps H
GYSINITE-(Nd),Pb(Nd|La)(CO3)2(OH).H2O,O
HAAPALAITE,4(Fe|Ni)S.3(Mg|Fe++)(OH)2,H
HAFNON,HfSiO4,Q
HAGENDORFITE,NaCaMn++(Fe++|Fe+++|Mg)2(PO4)3,M
HAGGERTYITE,(Ba|K)(Mg|Cr+++)Fe++4Fe+++2Ti++++5O19,H
HAGGITE,V2O2(OH)3,M
HAIDINGERITE,CaHAsO4.H2O,O
HAIGERACHITE,KFe+++3(H2PO4)6(HPO4)2.4H2O,M
HAINEAULTITE,(Na|Ca)5Ca(Ti|Nb)5(Si12O34)(OH|F)4.5H2O,O
HAINITE,Na4Ca10Ti2(Si2O7)4(O|OH)4F4,A
HAIWEEITE,Ca(UO2)2Si5O12(OH)2.4|5H2O,O
HAKITE,Cu10Hg2(Sb|As)4(Se|S)13,C
HALENIUSITE-(La),(La|Ce)OF,C
HALITE,NaCl,C
HALLIMONDITE,Pb2(UO2)(AsO4)2,A
HALLOYSITE,Al2Si2O5(OH)4,M
HALOTRICHITE,Fe++Al2(SO4)4.22H2O,M
HALURGITE,Mg2[B4O5(OH)4]2.H2O,M
HAMBERGITE,Be2BO3(OH),O
HAMMARITE,Pb2Cu2Bi4S9,(?),O
HANAWALTITE,Hg+6Hg++(Cl|OH)2O3,O
HANJIANGITE,(1M|,2M|,3T),Ba2Ca(V+++Al)[Si3AlO10(OH)2]F(CO3)2,M
HANKSITE,KNa22(SO4)9(CO3)2Cl,H
HANNAYITE,(NH4)2Mg3H4(PO4)4.8H2O,A
HANNEBACHITE,Ca2(SO3)2.H2O,O
HAPKEITE,Fe2Si,C
HARADAITE,Sr2V++++2O2(Si4O12),O
HARDYSTONITE,Ca2ZnSi2O7,Q
HARKERITE,Ca24Mg8Al2(SiO4)8(BO3)6(CO3)10.2H2O,C
HARMOTOME,Ba2(Ca0|5|Na)Al6Si10O32.12H2O,M
HARMUNITE,CaFe+++2O4,O
HARRISONITE,Ca(Fe++|Mg)6(PO4)2(SiO4)2,R
HARSTIGITE,Ca6MnBe4(SiO4)2(Si2O7)2(OH)2,O
HARTITE,C20H34,A
HASHEMITE,Ba(Cr|S)O4,O
HASTINGSITE,NaCa2(Fe++4Fe+++)Si6Al2O22(OH)2,M
HATCHITE,(Pb|Tl)2AgAs2S5,A
HATRURITE,Ca3SiO5,R
HAUCHECORNITE,Ni9Bi(Sb|Bi)S8,Q
HAUCKITE,(Mg|Mn++)24Zn18Fe+++3(SO4)4(CO3)2(OH)81,(?),H
HAUERITE,MnS2,C
HAUSMANNITE,Mn++Mn+++2O4,Q
HAUYNE,(Na|Ca|K)8-4(SO4)2-1(AlSiO4)6,C
HAWLEYITE,CdS,C
HAWTHORNEITE,Ba[Ti3Cr4Fe++2Fe+++2Mg]O19,H
HAXONITE,(FeNi)23C6,C
HAYCOCKITE,Cu4Fe5S8,O
HAYDEEITE,Cu3MgCl2(OH)6,R
HAYNESITE,(UO2)3(SeO3)2(OH)2.5H2O,O
HAZENITE,KNaMg2(PO4)2.14H2O,O
HAZENITE,KNaMg2(PO4)2.14H2O,O
HEAZLEWOODITE,Ni3S2,R
HECHTSBERGITE,Bi2O(OH)(VO4),M
HECTORFLORESITE,Na9(IO3)(SO4)4,M
HECTORITE,Na0|3(Mg|Li)3Si4O10(F|OH)2,M
HEDENBERGITE,CaFe++Si2O6,M
HEDLEYITE,Pb7Te3,(?),R
HEDYPHANE,Pb3Ca2(AsO4)3Cl,H
HEFTETJERNITE,(Sc|Sn++++|Mn++)(Ta|Nb)O4,M
HEIDEITE,(Fe|Cr)1+x(Ti|Fe)2S4,M
HEIDORNITE,Na2Ca3B5O8(SO4)2Cl(OH)2,M
HEINRICHITE,Ba[(UO2)(AsO4)]2(H2O)10,M
HEJTMANITE,Ba(Mn|Fe++)2TiO(Si2O7)(OH|F)2,M
HEKLAITE,KNaSiF6,O
HELIOPHYLLITE,Pb6As2O7Cl4,(?),O
HELLANDITE-(Ce),(Ca3REE)4Ce2Al[]2[Si4B4O22](OH)2,M
HELLANDITE-(Gd),(Ca|Y)4(Gd|Y)2(Al|Fe+++|Ti++++)(Be|Li)2B4Si4O22(O|F|OH)2,(?),M
HELLANDITE-(Y),(Ca3REE)4Y2Al[]2[Si4B4O22](OH)2,M
HELLANDITE-(Yb),(Ca|Y)4(Yb|Y)2(Al|Fe+++|Ti++++)(Be|Li)2B4Si4O22(O|F|OH)2,(?),M
HELLYERITE,NiCO3.6H2O,A
HELMUTWINKLERITE,Pb(Zn|Cu)2(AsO4)2(OH|H2O)2,A
HELVITE,Mn4Be3(SiO4)3S,C
HEMATITE,alpha-Fe2O3,R
HEMATOLITE,(Mn|Mg|Al)15(AsO3)(AsO4)2(OH)23,R
HEMATOPHANITE,Pb4Fe+++3O8(OH|Cl),Q
HEMIHEDRITE,Pb10Zn(CrO4)6(SiO4)2F2,A
HEMIMORPHITE,Zn4Si2O7(OH)2.H2O,O
HEMLOITE,(As|Sb)2(Ti|V|Fe|Al)12O23OH,A
HEMUSITE,Cu+4Cu++Sn++++Mo++++S8,C
HENDERSONITE,(Ca|Sr)x(V+++++|V++++)12O32.12H2O,(x,=,about,2|6),O
HENDRICKSITE,KZn3AlSi3O10(OH)2,M
HENEUITE,CaMg5(PO4)3(CO3)(OH),A
HENMILITE,Ca2Cu[B(OH)4]2(OH)4,A
HENNOMARTINITE,SrMn+++2Si2O7(OH)2.H2O,O
HENRITERMIERITE,{Ca3}[Mn+++2](Si2)(,[])O8(OH)4,Q
HENRYITE,Cu4Ag3Te4,C
HENRYMEYERITE,BaFe++Ti7O16,Q
HENTSCHELITE,Cu++Fe+++2(PO4)2(OH)2,M
HEPHAISTOSITE,(Tl|K)Pb2(Cl|Br)5,M
HERBERTSMITHITE,Cu3Zn(OH)6Cl2,R
HERCYNITE,Fe++Al2O4,C
HERDERITE,CaBe(PO4)F,M
HERMANNROSEITE,CaCu(PO4|AsO4)(OH),O
HERZENBERGITE,SnS,O
HESSITE,Ag2Te,M
HETAEROLITE,ZnMn+++2O4,Q
HETEROGENITE-2H,Co+++O(OH),H
HETEROGENITE-3R,Co+++O(OH),R
HETEROMORPHITE,Pb7Sb8S19,M
HETEROSITE,Fe+++PO4,O
HEULANDITE-Ba,(Ba|Ca|Sr|K|Na)5Al9Si27O72.22H2O,M
HEULANDITE-Ca,(Ca0|5|Na|K)9[Al9Si27O72].24H2O,M
HEULANDITE-K,(K|Ca0|5|Na|Mg0|5|Sr0|5)9[Al9Si27O72].24H2O,M
HEULANDITE-Na,(Na|Ca0|5|K)9[Al9Si27O72].24H2O,M
HEULANDITE-Sr,(Sr0|5|Ca0|5|Na|K)9[Al9Si27O72].24H2O,M
HEWETTITE,CaV+++++6O16.9H2O,M
HEXAFERRUM,(Fe|Ru|Os|Ir),H
HEXAHYDRITE,MgSO4.6H2O,M
HEXAHYDROBORITE,Ca[B(OH)4]2.2H2O,M
HEXAMOLYBDENUM,(Mo|Ru|Fe|Ir|Os),H
HEXATESTIBIOPANICKELITE,(Ni|Pd)(Te|Sb),H
HEYITE,Pb5Fe++2(VO4)2O4,M
HEYROVSKYITE,Pb10AgBi5S18,O
HEZUOLINITE,(Sr|REE)4Zr(Ti|Fe+++|Fe++)2Ti2O8(Si2O7)2,M
HIARNEITE,(Ca|Mn++|Na)2(Zr|Mn+++)5(Sb+++++|Ti|Fe+++)2O16,Q
HIBBINGITE,(Fe|Mg)2(OH)3Cl,O
HIBONITE,(Ca|Ce)(Al|Ti|Mg)12O19,H
HIBONITE-(Fe),(Fe++|Mg)Al12O19,H
HIDALGOITE,PbAl3(AsO4)(SO4)(OH)6,R
HIELSCHERITE,Ca3Si(OH)6(SO4)(SO3).11H2O,H
HIERATITE,K2SiF6,C
HILAIRITE,Na2ZrSi3O9.3H2O,R
HILARIONITE,Fe+++2(SO4)(AsO4)(OH).6H2O,M
HILARIONITE,M
HILGARDITE-1A,Ca2B5O9Cl.H2O,A
HILGARDITE-3A,Ca2B5O9Cl.H2O,A
HILGARDITE-4M,Ca2B5O9Cl.H2O,M
HILLEBRANDITE,CaSiO3(OH)2,M ps O
HILLESHEIMITE,(K|Ca|[])2(Mg|Fe|Ca|[])2[(Si|Al)13O23(OH)6](OH).8H2O,O
HILLITE,Ca2(Zn|Mg)(PO4)2.2H2O,A
HINGGANITE-(Ce),BeCeSiO4(OH),M
HINGGANITE-(Y),BeYSiO4(OH),M
HINGGANITE-(Yb),(Yb|Y)BeSiO4(OH),M
HINSDALITE,(Pb|Sr)Al3(PO4|SO4)(OH|H2O)6,R
HIORTDAHLITE-I,(Na3Ca)Ca8Zr2(Y|Zr|REE|Na)+++2(Si2O7)4(O3F5),(?),A
HIORTDAHLITE-II,(Na|Ca)4Ca8Zr2(Y|Zr|REE|Na)2(Si2O7)4(O3F5),A
HISINGERITE,Fe+++2Si2O5(OH)4.2H2O,M
HOCARTITE,Ag2FeSnS4,Q
HOCHELAGAITE,(Ca|Na|Sr)Nb4O11.8H2O,M
HODGKINSONITE,MnZn2SiO4(OH)2,M
HODRUSITE,Cu8Bi12S22,M
HOELITE,(C6H4)2(CO)2,O
HOGANITE,Cu(CH3COO)2.H2O,M
HOGTUVAITE,(Ca|Na)2(Fe++|Fe+++|Ti|Mg|Sn|Mn)6(Si|Be|Al)6O20,A
HOHMANNITE,Fe+++2(SO4)2O.8H2O,A
HOLDAWAYITE,Mn++6(CO3)2(OH)7(Cl|OH),M
HOLDENITE,(Mn|Mg)6Zn3(AsO4)2(SiO4)(OH)8,O
HOLFERTITE,U++++++1|75Ti++++Ca0|25O7|5(H2O)3,or,U++++++1|75Ti++++Ca0|25O7|17(OH)0|67(H2O)3,H
HOLLANDITE,BaMn++++6Mn++2O16,M
HOLLINGWORTHITE,(Rh|Pt|Pd)AsS,C
HOLMQUISTITE,[](Li2Mg3Al2)Si8O22(OH)2,O
HOLTEDAHLITE,Mg12(PO3OH|CO3)(PO4)5(OH|O)6,H
HOLTITE,Al6(Al|Ta)(Si|Sb)3BO15(O|OH)2,O
HOLTSTAMITE,{Ca3}[Al2](Si2)([])O8(OH)4,Q
HOMILITE,Ca2(Fe++|Mg)B2Si2O10,M
HONESSITE,Ni6Fe+++2(SO4)(OH)16.4H2O,R
HONGQUIITE,(?),TiO,(?),C
HONGSHIITE,PtCu,(?),R
HOPEITE,Zn3(PO4)2.4H2O,O
HORNESITE,Mg3(AsO4)2.8H2O,M
HOROMANITE,(Fe|Ni|Co|Cu)9S8,Q
HORVATHITE-(Y),NaY(CO3)F2,O
HOTSONITE,Al5(PO4)(SO4)(OH)10.8H2O,A
HOUSLEYITE,Pb6CuTe4O18(OH)2,M
HOWARDEVANSITE,NaCu++Fe+++2(VO4)3,A
HOWIEITE,Na(Fe++|Mn)10(Fe+++|Al)2Si12O31(OH)13,A
HOWLITE,Ca2B5SiO9(OH)5,M
HSIANGHUALITE,Li2Ca3[Be3Si3O12]F2,C
HUANGHOITE-(Ce),BaCe(CO3)2F,R
HUANGITE,CaAl6(SO4)4(OH)12,R
HUBEITE,Ca2Mn++Fe+++Si4O12(OH).2H2O,A
HUBNERITE,MnWO4,M
HUEMULITE,Na4MgV+++++10O28.24H2O,A
HUGELITE,Pb2(UO2)3(AsO4)2O2.5H2O,M
HUGHESITE,Na3Al(V10O28).22H2O,A
HULSITE,(Fe++|Mg)2(Fe+++|Sn)BO5,M
HUMBERSTONITE,K3Na7Mg2(SO4)6(NO3)2.6H2O,R
HUMBOLDTINE,Fe++(C2O4).2H2O,M
HUMITE,(Mg|Fe++)7(SiO4)3(F|OH)2,O
HUMMERITE,KMgV+++++5O14.8H2O,A
HUNCHUNITE,(Au|Ag)2Pb,C
HUNDHOLMENITE-(Y),(Y|REE|Ca|Na)15(Al|Fe+++)(CaxAs+++1-x)(Si|As+++++)Si6B3(O|F)48,(x,=,0|78),R
HUNGCHAOITE,MgB4O5(OH)4.7H2O,A ps H
HUNTITE,CaMg3(CO3)4,R
HUREAULITE,Mn5(PO4)2[PO3(OH)]2.4H2O,M
HURLBUTITE,CaBe2(PO4)2,M
HUTCHINSONITE,(Pb|Tl)2As5S9,O
HUTTONITE,ThSiO4,M
HYALOPHANE,(K|Ba)Al(Si|Al)3O8,M
HYALOTEKITE,(Ba|Pb|Ca|K)6(B|Si|Al)2(Si|Be)10O28(F|Cl),A ps M
HYDROASTROPHYLLITE,(H3O|K)2Ca(Fe++|Mn)5-6Ti2Si8O26(OH)4F,A
HYDROBASALUMINITE,Al4(SO4)(OH)10.12-36H2O,M
HYDROBIOTITE,K(Mg|Fe)6(Si|Al)8O20(OH)4.xH2O,M
HYDROBORACITE,CaMgB6O8(OH)6.3H2O,M
HYDROCALUMITE,Ca2Al(OH)6[Cl1-x(OH)x].3H2O,M
HYDROCERUSSITE,Pb3(CO3)2(OH)2,R
HYDROCHLORBORITE,Ca2B4O4(OH)7Cl.7H2O,M
HYDRODELHAYELITE,KCa2AlSi7O17(OH)2.6H2O,O
HYDRODRESSERITE,BaAl2(CO3)2(OH)4.3H2O,A
HYDROGLAUBERITE,Na4Ca(SO4)3.2H2O,M
HYDROHALITE,NaCl.2H2O,M
HYDROHETAEROLITE,Zn2Mn+++4O8.H2O,Q
HYDROHONESSITE,Ni6Fe+++2(SO4)(OH)16.7H2O,H
HYDROKENOELSMOREITE,[]2W2O6(H2O),C
HYDROKENOMICROLITE,([]|H2O)2Ta2(O|OH6)(H2O),C
HYDROMAGNESITE,Mg5(CO3)4(OH)2.4H2O,M
HYDROMBOBOMKULITE,(Ni|Cu)Al4[(NO3)2|(SO4)](OH)12.13-14H2O,M,(?)
HYDROMICROLITE,(H2O|[])2Ta2(O|OH)6(H2O),C
HYDROMOLYSITE,(?),FeCl3.6H2O,(?),(?)
HYDRONIUMJAROSITE,(H3O+)2Fe+++6(SO4)4(OH)12,R
HYDRONIUMPHARMACOALUMITE,(H3O)Al4(AsO4)3(OH)4.4|5H2O,C
HYDRONIUMPHARMACOSIDERITE,(H3O|K)(Fe+++|Al)4(AsO4)3(OH)4.4H2O,C
HYDROPYROCHLORE,(H2O|[])2Nb2(O|OH)6(H2O),C
HYDROROMARCHITE,Sn3O2(OH)2,Q
HYDROSCARBROITE,Al14(CO3)3(OH)36.nH2O,A
HYDROSODALITE,(?),Na6[AlSiO4]6.8H2O,C
HYDROTALCITE,Mg6Al2(CO3)(OH)16.4H2O,R
HYDROTUNGSTITE,H2WO4.H2O,M
HYDROWOODWARDITE,[Cu1-xAlx(OH)2][(SO4)0|5x(H2O)n],(x,lower,than,0|67;,n,=,about,1|5x),R
HYDROXYCALCIOBETAFITE,(Ca|Na|U)2(Ti|Nb|Ta)2O6(OH),C
HYDROXYCALCIOMICROLITE,Ca1|5Ta2O6(OH),C
HYDROXYCALCIOPYROCHLORE,(Ca|Na|U|[])2(Nb|Ti)2O6(OH),C
HYDROXYCALCIOROMEITE,(Ca|Sb+++)2(Sb+++++|Ti)2O6(OH),C
HYDROXYCANCRINITE,Na8Al6Si6O24(OH)2.2H2O,H
HYDROXYKENOMICROLITE,([]|Na|Sb+++)2Ta2O6(OH),C
HYDROXYKENOPYROCHLORE,C
HYDROXYLAPATITE,Ca5(PO4)3(OH),H
HYDROXYLAPATITE-M,Ca5(PO4)3(OH),M
HYDROXYLBASTNASITE-(Ce),(Ce|La)(CO3)(OH|F),H
HYDROXYLBASTNASITE-(La),(La|Ce)(CO3)(OH|F),H
HYDROXYLBASTNASITE-(Nd),(Nd|La)(CO3)(OH|F),H
HYDROXYLBORITE,Mg3(BO3)(OH|F)3,H
HYDROXYLCHONDRODITE,Mg5(SiO4)2(OH)2,M
HYDROXYLCLINOHUMITE,Mg9(SiO4)4(OH|F)2,M
HYDROXYLEDGREWITE,Ca9(SiO4)4(OH)2,M
HYDROXYLELLESTADITE,Ca5(SiO4)1|5(SO4)1|5OH,M ps H
HYDROXYLHERDERITE,CaBe(PO4)(OH),M
HYDROXYLMATTHEDDLEITE,Pb5(SiO4)1|5(PO4)1|5OH
HYDROXYLWAGNERITE,Mg2(PO4)(OH),M
HYDROXYMANGANOPYROCHLORE,(Mn|Th|Na|Ca|REE)2(Nb|Ti)2O6(OH),C
HYDROZINCITE,Zn5(CO3)2(OH)6,M
HYLBROWNITE,Na3MgP3O10.12H2O,M ps O
HYPERCINNABAR,HgS,H
HYTTSJOITE,Pb18Ba2Ca5Mn++2Fe+++2Si30O90Cl.6H2O,R
IANBRUCEITE,[Zn2(OH)(H2O)(AsO4)](H2O)2,M
IANGREYITE,Ca2Al7(PO4)2(PO3OH)2(OH|F)15.8H2O,R
IANTHINITE,(UO2).5(UO3).10H2O,O
ICE,H2O,H
ICOSAHEDRITE,Al63Cu24Fe13 ps C
IDAITE,Cu3FeS4,(?),H
IDRIALITE,C22H14,O
IIMORIITE-(Y),Y2(SiO4)(CO3),A
IKAITE,CaCO3.6H2O,M
IKRANITE,(Na|H3O)15(Ca|Mn|REE)6Fe+++2Zr3([]|Zr)([]|Si)Si24O66(O|OH|Cl.nH2O,R
IKUNOLITE,Bi4(S|Se)3,R
ILESITE,(Mn++|Zn|Fe++)SO4.4H2O,M
ILIMAUSSITE-(Ce),(Na|K)7-8(Ba|K)10Ce5(Nb|Ti)6(Si12O36)(Si9O18)(O|OH)24O6,R ps H
ILINSKITE,(Na|K)Cu5(SeO3)2O2Cl3,O
ILLITE,K0|65Al2[]Al0|65Si3|35O10(OH)2,M
ILMAJOKITE,(Na|Ce|Ba)2TiSi3O5(OH)10.nH2O,M
ILMENITE,Fe++TiO3,R
ILSEMANNITE,Mo3O8.nH2O,(?),am.
ILTISITE,HgSAg(Cl|Br),H
ILVAITE,CaFe++2Fe+++Si2O7O(OH),O/M
IMANDRITE,Na6Ca1|5Fe+++Si6O18,O
IMGREITE,(?),NiTe,(?),H
IMHOFITE,Tl6CuAs16S40,M
IMITERITE,Ag2HgS2,M
IMOGOLITE,(?),Al2SiO3(OH)4,(?)
INAGLYITE,PbCu3(Ir|Pt)8S16,H
INCAITE,(Pb|Ag)4Sn4FeSb2S15,M
INDERBORITE,CaMg[B3O3(OH)5]2.6H2O,M
INDERITE,MgB3O3(OH)5.5H2O,M
INDIALITE,Mg2Al4Si5O18,H
INDIGIRITE,Mg2Al2(CO3)4(OH)2.15H2O,M,(?)
INDITE,Fe++In2S4,C
INDIUM,In,Q
INESITE,Ca2Mn7Si10O28(OH)2.5H2O,A
INGERSONITE,Ca3Mn++Sb+++++4O14,H
INGODITE,Bi(S|Te),H
INNELITE,(Ba|K)4(Na|Ca)3Ti3(Si2O7)(SO4)O4,A
INSIZWAITE,Pt(Bi|Sb)2,C
